,time,iiwa_joint_1,iiwa_joint_2,iiwa_joint_3,iiwa_joint_4,iiwa_joint_5,iiwa_joint_6,iiwa_joint_7,link_pos_1,link_pos_2,link_pos_3,link_pos_4,link_pos_5,link_pos_6,link_pos_7
10,1639136552979686319,0.6146980717750408,-1.5199026983142994,0.2538516815539298,-1.4411205202685582,0.5706685513644056,2.0407037293734764,0.9987074574607786,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.14945138696206128, 0.13646480849859807, 0.28394967460792786]","[-0.28466930849978384, 0.2599329685680641, 0.23323747544363432]","[-0.2417213751833611, 0.3985547474206751, 0.08144986906028738]","[-0.18871500861297671, 0.47844909825122595, -0.09345498452694428]","[-0.25126462012543793, 0.5557039639385752, -0.11255267620080364]"
11,1639136553079531073,-1.0228005882112234,0.0824589389144128,-2.670561611343249,2.045752605905258,-1.6800679392390108,1.7477630428894682,0.10079149289529797,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[-0.1713368632479458, -0.12095268397619388, 0.35068304878345696]","[-0.3263559299966221, -0.23038606471579856, 0.3603486643494811]","[-0.3702944453739083, -0.1973906915032686, 0.5630324382757771]","[-0.3549152836425783, -0.18783732667918504, 0.7616695561691345]","[-0.3762114088374054, -0.10619090299727868, 0.7057604643178005]"
12,1639136553179557200,-1.9248008636740601,0.4986876914365119,-0.5362090758954796,-1.474085615482724,0.4066357063343585,-1.7471127293555924,1.9405533087796063,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.009011222816923856, -0.014764002647846884, 0.5492864594023181]","[0.017164233937812336, -0.02812190980497139, 0.7386408750520311]","[0.17178962051396018, -0.11878406688046933, 0.6292271505902682]","[0.28245672549175777, -0.18827519504882687, 0.4785345330480606]","[0.33908845887213246, -0.12464485192418467, 0.533211001553026]"
13,1639136553279700176,-1.886164347518856,1.3573598119734118,0.6378223165467207,-2.0150725150249054,1.3582527889999096,-1.0793132306619553,0.0402375505658501,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.034817317483017494, -0.09420950780395593, 0.5244243016595783]","[-0.06631869996679167, -0.17944668153169957, 0.6912843841134637]","[-0.22454524258883635, -0.2995412388070787, 0.6231546657615951]","[-0.4017414589032813, -0.35863334473378117, 0.5531967216737946]","[-0.3843712792050066, -0.4063485773856191, 0.6407582624907001]"
14,1639136553379545028,-2.587103533110904,0.09227825514858257,1.2190850830563815,-1.3780922766526762,-2.727121477280754,-1.8446646880248807,1.2591106039163589,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[-0.06365694412093453, -0.19511312955779847, 0.3844821328102194]","[-0.12125132213423154, -0.37164405630086494, 0.4247278720194271]","[0.0034371481945179028, -0.353478965418506, 0.2567313993174318]","[0.10911953843961342, -0.2767766356654399, 0.10595847402069532]","[0.08210184025690831, -0.33959376082666903, 0.031329104658582074]"
15,1639136553479524237,1.7791349729014247,1.5723906177922449,0.9779971989982714,-1.153216087445509,1.2857625205943086,-0.6659555168620834,-1.456576655108471,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.016451582334503532, -0.01018844640790111, 0.5491065302626496]","[-0.03133634730335972, -0.019406564587289822, 0.7382981528812337]","[0.007279088191690937, -0.223088556454852, 0.771801799405006]","[0.09362214243705128, -0.3928818376356386, 0.8309592896276742]","[0.07710037932038383, -0.38984633508318245, 0.7311429228947043]"
16,1639136553579590598,0.6877747717356004,1.657336315647871,-1.9083704676343989,1.0079538068798812,0.8824147863850413,-1.6837570684726455,0.04152220146092933,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.04343524386148151, 0.20545867589129868, 0.3396651990323877]","[-0.0827337978323035, 0.39134985884037643, 0.3393622838711754]","[-0.2560748676824083, 0.4415774016577767, 0.23198413224922132]","[-0.41172496256796975, 0.43280441527768243, 0.1075631827588304]","[-0.4372489515773666, 0.521310655556269, 0.06560294662034713]"
17,1639136553679535772,1.6706114488919261,-0.69335251714903,1.1410451416740597,1.6580882389953941,2.302824709189933,-0.06728110897881767,-0.04840764922332808,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.16165150200737688, 0.1328131890365607, 0.32184927779128847]","[0.3079076228706009, 0.25297750292749904, 0.3054271957928913]","[0.2838510707275927, 0.45010196617112863, 0.2371393616648298]","[0.3024619970957556, 0.6476096806345777, 0.21643124376040643]","[0.2037470867489585, 0.6310518706290889, 0.23148765113553985]"
18,1639136553779530786,-1.4848747786497254,0.6927475737812521,2.1857560643382743,2.035112894044063,1.4173190258661497,1.1595003937221264,2.8583961928490385,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[0.013374455881103232, -0.13354699409421333, 0.5015126134340121]","[0.025475154058315422, -0.2543752268461832, 0.6476430732076671]","[0.22022049021214762, -0.2904848184829096, 0.5778551699710758]","[0.388976615057135, -0.3825662116735168, 0.5246867831666988]","[0.47328989011070555, -0.3364440211143853, 0.4929140717972217]"
19,1639136553879587806,2.809409702856553,-0.8763445551554709,2.083594121092996,-1.3942466851904212,0.522749637460648,-1.6447211036778135,2.341168705175189,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.011509392878645178, -0.13362254792380568, 0.5015937763712305]","[0.02192265310311084, -0.25451913890243727, 0.6477976692785092]","[-0.1288795662049761, -0.29089261196848715, 0.5062502881339999]","[-0.2773827179651528, -0.37704595813398156, 0.40471751085600716]","[-0.33809254670843003, -0.29615974117290494, 0.4005670169471327]"
20,1639136553979575185,1.6551089575724052,-1.946654947261348,-2.543787172480982,1.8874670551043409,2.4792360032951595,-1.4354849117905581,0.8517001872427405,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.15254359489784078, -0.052622316868938965, 0.4743924976439846]","[0.29055922837651244, -0.10023298451313598, 0.5959857097980962]","[0.31996650505873553, -0.3009393332139888, 0.5416518007788949]","[0.2888288410822915, -0.4948126714385246, 0.5066080480151741]","[0.3679176101265339, -0.49406498782657615, 0.569773684086403]"
21,1639136554079602245,0.2627360542503272,1.4149791235786315,1.8248202416388677,1.9648943309280376,-0.4628406628128547,0.7452890477598593,1.8702255463650457,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.016450164424650415, -0.1946465964530939, 0.26291501715879817]","[0.03133364652221782, -0.3707554218155097, 0.19317146125489024]","[-0.08060845918525439, -0.3799332662269884, 0.3706108372167546]","[-0.14507712466781092, -0.43170386809453887, 0.5521269135107562]","[-0.23506397060016349, -0.44462626420047674, 0.5076199563239489]"
22,1639136554179562277,-0.5395604443271504,0.20389406372606445,2.112162279372195,-1.0211626604547492,-0.33778572788230266,0.1542182888189756,-0.3588606614136838,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.2003365908173474, 0.05388119939676224, 0.37258936530908615]","[0.38159350631852107, 0.1026308559947329, 0.4020749815410777]","[0.3607164297593726, -0.09733317264196836, 0.34142405470789594]","[0.31928004208459543, -0.25975265772201794, 0.2333156524313053]","[0.386619067415042, -0.33383052275260583, 0.24826274512705948]"
23,1639136554279540118,-1.233370946279036,0.7351175175677107,-0.6804697127093586,1.14793262647496,-0.256023539495712,-0.3241129330692676,-2.4202607361112265,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.03648083200090649, -0.02184590000553343, 0.5456499587879119]","[0.06948729904985665, -0.0416112381049996, 0.7317142072150623]","[0.08986055929016762, 0.12506504186061246, 0.8578250630681786]","[0.16759361848115872, 0.2642583100622248, 0.9776887172597807]","[0.11842517760480378, 0.3465787915910882, 1.0101123620679204]"
24,1639136554379634650,1.9185040099468416,1.2522115601680532,-2.6869807874634937,-1.837861561650624,-0.4101289330339797,0.08073883672754299,-0.5817376238010996,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.04662684776820059, -0.13289957083192486, 0.4957679079267975]","[0.08881304336888868, -0.2531420396795765, 0.6367007770033973]","[0.18508649759583057, -0.16360848288015595, 0.8004541409934475]","[0.21947822095702307, -0.05823692886198695, 0.9662809632148338]","[0.3122644547090392, -0.02895498438877686, 0.9941874598416781]"
25,1639136554479516513,2.3066306105545533,0.05402337108360866,0.01892537875336675,1.8278649532981184,-1.2303439583266949,0.6052717606441687,0.6641226914589344,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.06795541908245764, 0.18749792964074793, 0.40577679984432735]","[-0.12943889349127435, 0.3571389136011192, 0.4652891425605862]","[-0.008460569057206213, 0.28437542319651354, 0.6207552786843872]","[0.05228057955272418, 0.21441144649460378, 0.7973906229097177]","[0.14649460059089037, 0.18445538633425868, 0.8191125634190225]"
26,1639136554579500906,-1.7526941188350589,-0.2132469799629606,2.629935701592918,-0.2482123412715802,-2.8116846950101584,1.2106151829415237,2.046084837311952,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.007611064781428509, 0.008405561613480361, 0.5496936294379371]","[-0.014497266251055945, 0.016010593548891082, 0.73941643702464]","[0.12638505826195667, -0.13385176206322216, 0.697067351908209]","[0.2606681937207366, -0.24718974602881888, 0.602690284132329]","[0.332319965450926, -0.28946450280653374, 0.6603475347371738]"
27,1639136554679621882,2.888310466186569,-0.6968811226205028,-2.301557355929244,-1.136240642293608,-2.2101501553871694,-1.1646766900621108,-1.8769166602863523,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.008039619966243285, 0.04371001552732941, 0.5452432679855761]","[0.015313561841371476, 0.08325717243280234, 0.7309395580677723]","[0.055903300648547725, 0.16429786099376026, 0.920372606665769]","[0.03641986195497465, 0.2604232795526554, 1.0940527423277122]","[0.07356057240717412, 0.18476719881979398, 1.150108206604165]"
28,1639136554779559044,0.4047919924474379,-0.6913970594074621,-1.022449469152487,-1.6335066772049542,0.09688663859175728,0.9391934526336104,0.8805502104439085,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.13048384973729177, -0.03377457676542539, 0.5010380170085692]","[0.2485406661660077, -0.06433252717313204, 0.6467390800163476]","[0.43340182382069814, 0.034338127057489065, 0.6329385588570243]","[0.6001574841800791, 0.13293642905519515, 0.6804297641615431]","[0.5935274500678892, 0.2033303178018639, 0.6079988793485517]"
29,1639136554879618208,-0.12111806917846925,2.0581814155183404,-0.5957399247592035,-0.8278293079868166,0.4868335273099715,0.3978379408325208,1.9968292936579748,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.1230778154535731, -0.05273309745705636, 0.5017747562994944]","[-0.23443393419762076, -0.10044399515543079, 0.6481423929514429]","[-0.07891911857565419, -0.22839773347057093, 0.7076653546825797]","[0.040854794272582706, -0.3870533137675729, 0.7240087521765067]","[0.13490926339750264, -0.3497776499533836, 0.7271347279987121]"
30,1639136554979582086,0.2240081364506308,0.1847778250120484,-1.4026721658633892,0.4800444384158738,-0.4805793614038562,-1.7177436320080646,-0.505508135385031,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.18418841082516738, -0.022418274314002447, 0.2416534174743143]","[0.3508350682385082, -0.042701474882888474, 0.15267317614151635]","[0.4054364181597468, -0.13676932845198794, -0.026965159164956815]","[0.43642936023930157, -0.27523031300725903, -0.1671524742017971]","[0.4454844281624714, -0.25019027980059033, -0.2648074407007712]"
31,1639136555079560231,-1.4748432808038383,0.17363163950931115,0.7217967419203881,-0.485986357872823,2.832122510348749,-1.6173786518229705,0.4355873339713514,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.037618913320809445, 0.008570784189715255, 0.5464251898847008]","[0.07165507299184899, 0.016325303219420925, 0.7331908378756131]","[0.06822885828692256, 0.11360935327332283, 0.9192662920814425]","[0.004506697442272074, 0.20374660960059962, 1.085396515818965]","[0.06916008457967206, 0.26708945517322047, 1.040085220908925]"
32,1639136555179503654,1.6296201220477855,-2.0401337508185597,-2.3917796795515014,-1.324712483007409,0.2552829185861181,-1.533981516550821,2.0069065812354334,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.0034758091297217852, -0.03611282266706337, 0.5468424105204515]","[0.00662058881944742, -0.06878632888959395, 0.7339855438484723]","[0.08115299755509675, -0.16669406518505664, 0.9041589707445662]","[0.19994631632767668, -0.2231755477031464, 1.0541005578628666]","[0.17942279618938012, -0.3109002650825966, 1.0079632727040222]"
33,1639136555279507688,0.7473447803064119,-1.9080785386300576,-0.6675736505829617,0.2467514667157995,2.7640912868304137,1.0469343657580437,2.7133615242483238,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.011010892139893522, -0.18696836980093096, 0.2450179546005355]","[0.020973127884583803, -0.3561302281923221, 0.1590818182867693]","[0.15825593201542887, -0.3262181320998837, 0.0030090846100352675]","[0.2401807509199672, -0.2689900699475061, -0.16961120084257955]","[0.260483926159794, -0.36802002343282597, -0.17474339217535753]"
34,1639136555379544612,2.2024718015715936,-0.9356563007145352,-1.9085942654456245,-0.08490388341916932,1.1029148458976592,1.6053964915604553,1.3982958924942357,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.14535553223115644, -0.1346935695908319, 0.2705060321993559]","[-0.2768676804409399, -0.2565591801723396, 0.20763053752261965]","[-0.42962642837992976, -0.35482034824934383, 0.10222888774305094]","[-0.6052240333722468, -0.4362670510613734, 0.0540998349577403]","[-0.6185242077126769, -0.40129823709602797, -0.03995215817569217]"
35,1639136555479598116,2.895471224476861,1.8195749713498992,0.6075089398299998,-2.001380674952129,1.0047964974357084,0.5260662360056729,1.7005528770567768,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.09982223619629726, -0.13642806258785767, 0.4645909503105833]","[0.19013759275408731, -0.25986297635835476, 0.5773160958297141]","[0.30522776574388133, -0.3887039379371612, 0.6967072960943391]","[0.4562702866589198, -0.4985052937468447, 0.7668094297136904]","[0.4337146769618497, -0.44027061816005897, 0.8464678067401855]"
36,1639136555579517554,-1.5862656747906314,0.014820357047762744,-2.33052298011246,1.1122545211262542,2.31104815174908,-0.4535400287557319,-1.3127095474926365,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.19740132753800532, 0.04959008297629476, 0.28829371840252527]","[-0.3760025286440369, 0.09445730090632343, 0.2415118445762005]","[-0.2827304672740209, -0.04128991784207535, 0.1112313196698955]","[-0.14484705329581135, -0.13740377921214075, 0.003831227480691368]","[-0.16066444894281656, -0.23474317387059054, -0.018979783949594986]"
37,1639136555679538199,-0.6679337731867627,-0.8025733066722005,2.319029978196362,1.5523519619872137,-1.976060473672167,1.6775987278445883,1.544989632946208,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-4.814118323409459e-05, -0.00311178868592954, 0.5499769379089061]","[-9.16974909448429e-05, -0.005927216544681353, 0.7399560722074395]","[0.13439170331304937, -0.13907802095043537, 0.8309784771102594]","[0.21323633960410882, -0.275501756354174, 0.9532755651648049]","[0.31345979779558053, -0.27990338027241235, 0.9667430866526169]"
38,1639136555779521944,2.1006742742777833,1.651800000110511,2.5523090152468257,-1.5790890457992264,0.14433570843230825,1.618802655357396,-1.5398581507713798,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.11856687808055243, 0.09353699961360842, 0.48592026975549096]","[-0.2258416725337879, 0.17816571355044397, 0.6179433709628681]","[-0.24540824742737377, -0.0023994054525472014, 0.7233634209835798]","[-0.25135913690197653, -0.19673795099714586, 0.7678786614083041]","[-0.18364942211105817, -0.15680401297157778, 0.8316451503872545]"
39,1639136555879554075,-0.9516969063865964,1.5009135065267467,-0.9792365735977804,1.6593266361418182,-0.3552053913917517,-0.518546107132916,-2.591000817612865,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.10579185311836098, 0.1806082772699705, 0.32300782546709816]","[-0.20150829165482215, 0.3440157662280423, 0.30763395327062404]","[-0.308473185976466, 0.29571986514110066, 0.4817776218921386]","[-0.4425398523472128, 0.21696044914272405, 0.606707895884592]","[-0.3545135840611556, 0.18954976715543245, 0.6484873238919573]"
40,1639136555979511398,1.6803294932140207,-0.5093359136009799,-0.5426956673501021,-1.1388053745717914,-0.6514194328782326,1.9784574618787816,0.8128114892976814,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.12156596664225597, -0.17060685501424394, 0.3546634503607665]","[0.23155422217648486, -0.32496543812183176, 0.36793038163951597]","[0.35748585637120583, -0.20248862418193722, 0.48299842045212227]","[0.43027119150460086, -0.09128177814411687, 0.6317257628738837]","[0.49654478973502947, -0.018036221756361936, 0.609626245977808]"
41,1639136556079600032,2.1936735024614475,-0.39834149821296094,0.825257120401254,2.0171837242370985,-1.7947546988851235,-1.5238762981263363,-2.4819699318487234,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.011193288711197714, -0.10178185611465601, 0.523344386479879]","[0.021320549925162413, -0.19387020212322192, 0.6892274028188362]","[0.10832137366424252, -0.08399391486164835, 0.8456181255818368]","[0.22563313696880194, -0.03021769737749501, 0.9977054643825144]","[0.22215579597860904, 0.028453388112064118, 0.9152973226299256]"
42,1639136556179581216,-1.3270103064593282,0.2810992014657612,-2.7392832064154047,0.17235714413465342,-2.069168178624603,0.8950537141925472,-1.037191345250229,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.04751989979405441, -0.06615960563350382, 0.5335581713748667]","[0.09051409484504125, -0.12601829644528253, 0.7086822311902375]","[0.2521295408355243, -0.11246196159913963, 0.5752780580814607]","[0.359604294960312, -0.09410382228303471, 0.4082551675943574]","[0.40010361415203083, -0.18028405021762692, 0.4425810100188202]"
43,1639136556279560309,-2.5024643990322417,-0.3920457407821798,1.7000437859219368,-1.1505853586903876,-0.3007791812905149,1.5847233148392363,1.4267641110790694,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.014061860375135505, -0.056533911464687246, 0.5417577283211057]","[0.026784495953551007, -0.10768364088493063, 0.7243004348973333]","[0.06200835064095267, -0.19087432238586435, 0.9138751973853053]","[0.101158351676566, -0.320814946126203, 1.060050440572663]","[0.164216883287227, -0.2749427584040583, 1.1245861205078092]"
44,1639136556379566736,-2.555789198761345,-1.3675793574525614,1.3698059339657331,-1.7032236255276716,-2.3937706001242973,1.1275172838110246,1.2360690501431109,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.06439930050452487, 0.04786089728457111, 0.5340671651919603]","[0.12266533429485889, 0.09116361387460518, 0.7096517432227968]","[0.2806790856668746, -0.028291816100850492, 0.77938017807345]","[0.3854526262040049, -0.1649995214954802, 0.879968440256716]","[0.4070160360443411, -0.19029949703942717, 0.7843628933803273]"
45,1639136556479552340,0.9916875346405124,0.8656664536212872,0.9726632135561974,-0.3526678672244625,-1.4581483331401033,0.9539962901853104,-2.8474522867708503,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.1713855121270653, 0.11371338987538761, 0.38238243971259345]","[0.3264485945282512, 0.2165969330951968, 0.42072845659545455]","[0.4095992027069081, 0.026982722630926215, 0.4558344040905834]","[0.5332394732333215, -0.12952585823750573, 0.4542103293679228]","[0.5318936748227039, -0.15025077311839602, 0.553276755213503]"
46,1639136556579485980,-0.9465934568566714,-1.1724261519869748,0.5100672175856804,-2.0120641946030697,1.6985586284831498,-1.2355205960840585,-0.35885998934068075,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.08752114959762566, 0.13384578738190162, 0.4761078747656756]","[0.16670695161376037, 0.2549443569184383, 0.599253094791733]","[0.2131611359748909, 0.43551352862895265, 0.6958801250840941]","[0.296933092164235, 0.5702303890942945, 0.8167855296885708]","[0.31124559869214297, 0.6520172000592316, 0.7588928729083345]"
47,1639136556679681245,2.0433479781411665,-0.64105302308163,-2.681199691682546,-1.3569014451996628,0.6024684423445508,0.2745186003990603,-0.2216766333570788,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.11312383264967538, 0.15705686836034616, 0.42146249804351155]","[-0.21547396695099896, 0.2991559397345241, 0.4951666629400583]","[-0.05436366126400716, 0.2341011949021906, 0.6131130472688882]","[0.11007446161693774, 0.13938790986545804, 0.6745458347763904]","[0.0687975288125588, 0.10999551184969938, 0.7621688440670216]"
48,1639136556779643711,1.4961296653730085,-1.782494444515965,1.263558379445739,-1.7930940179876456,-0.5109131651695735,-1.8868378557368508,0.7891346780863033,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.057162763226211714, -0.11182509003211882, 0.5083079550694279]","[0.10888145376337013, -0.21300017149014555, 0.6605865810846482]","[0.2692665331336185, -0.3264364540259924, 0.5863650470136882]","[0.37871251538989337, -0.4506128141040018, 0.4750712980170094]","[0.47979414655240094, -0.45443004881719257, 0.478734979317445]"
49,1639136556879536005,-0.10525707323416622,0.04748001798525081,-2.6255312472261045,0.18527809049393484,1.6952230536796418,-1.4151212543933902,-2.9429772853671814,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.015315710612346337, -0.20473980593143665, 0.29587471387518816]","[-0.029172782119683244, -0.38998058272648484, 0.2559518359527779]","[-0.22146392643616983, -0.3432569290721422, 0.3262441968936735]","[-0.38862662541093035, -0.34092731274598703, 0.4350361771093424]","[-0.4021011103124027, -0.3619655626039664, 0.3369478480403181]"
